Rawon_etal_EPSL_2016_Major_Elements,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5
130130_05Cii,55.01,0.87,22.38,4.82,0.16,0.86,2.41,3.94,1.34,0.22
130130_05Di,56.90,0.89,20.52,5.16,0.15,1.41,3.29,4.47,1.35,0.24
117_01B,57.94,0.66,21.19,3.80,0.11,0.50,1.62,4.10,1.65,0.10
130111_02Bii,51.52,1.12,18.86,8.90,0.16,4.66,9.88,3.37,0.52,0.13
130130_05Biv,58.41,0.83,19.78,4.52,0.15,0.96,2.66,4.45,1.48,0.22
130130_05ciii,57.80,1.18,17.29,7.78,0.17,3.06,6.27,4.31,1.14,0.26
130130_05Bi,59.03,0.73,20.38,4.01,0.17,0.65,2.06,4.36,1.64,0.17
130108_05A,60.65,0.75,18.49,4.22,0.15,1.00,2.80,4.69,1.64,0.20
130130_05Bi,63.13,0.77,21.74,4.27,0.14,0.66,2.15,4.58,1.73,0.17
130120_16Aii,65.71,0.54,15.67,2.98,0.13,0.61,1.98,5.17,2.17,0.11
130130_05A,64.33,0.69,21.22,3.90,0.14,0.58,1.95,4.81,1.89,0.15
130120_16Aiiib,67.89,0.64,16.40,3.46,0.14,0.87,2.58,5.46,2.12,0.15
130111_01A,67.09,0.60,15.78,3.26,0.14,0.80,2.49,5.64,2.14,0.15
130120_16Ai,64.01,0.58,16.28,3.34,0.13,0.80,2.47,4.85,1.97,0.12
130120_16Aiiia,67.89,0.64,16.40,3.46,0.14,0.87,2.58,5.46,2.12,0.15
130207_10A,56.79,0.90,21.09,4.49,0.16,1.06,2.78,4.55,1.37,0.23
130107_05Iii,61.56,0.80,18.01,4.04,0.14,1.13,2.97,5.07,1.64,0.26
130107_05Ii,62.85,0.75,17.14,3.78,0.14,1.06,2.91,5.32,1.73,0.25
130107_05K,62.92,0.78,17.00,3.99,0.14,1.18,3.03,5.28,1.74,0.27
130107_05Jib,62.80,0.78,17.49,3.92,0.14,1.06,2.97,5.17,1.74,0.25
130107_05Jia,62.80,0.78,17.49,3.92,0.14,1.06,2.97,5.17,1.74,0.25
130107_05L,64.40,0.77,17.50,3.85,0.15,1.08,2.98,5.42,1.80,0.25
130107_05Jii,63.71,0.75,16.39,4.40,0.14,1.69,4.02,5.23,1.76,0.17
130111_04A,52.98,1.23,22.73,6.17,0.19,1.15,2.73,3.62,1.01,0.28
130107_05F,62.71,0.87,16.85,4.20,0.16,1.18,3.17,4.91,1.56,0.25
130107_05E,63.13,0.84,16.91,4.08,0.15,1.09,3.01,4.99,1.61,0.27
130107_05Hi,63.24,0.88,16.63,4.38,0.18,1.29,3.37,5.08,1.58,0.25
130107_05G,62.22,0.90,16.73,4.54,0.17,1.34,3.42,4.92,1.51,0.25
130107_05Hii,62.80,0.89,16.73,4.39,0.17,1.29,3.35,5.05,1.57,0.24
130107_05D,63.91,0.80,16.31,3.87,0.16,1.11,3.04,5.25,1.68,0.22
130126_06Ai,65.18,0.88,15.63,4.10,0.16,1.19,3.14,4.99,2.35,0.25
